name,address,post_code,city,latitude,longitude
Central Hospital,123 Main Street,12345,New York,40.7128,-74.0060
Memorial Hospital,456 Park Avenue,67890,Boston,42.3601,-71.0589
Community Medical Center,789 Oak Road,34567,Chicago,41.8781,-87.6298
University Medical Center,1010 Cedar Boulevard,94109,San Francisco,37.7749,-122.4194
St. Mary's Hospital,2233 Willow Drive,90210,Los Angeles,34.0522,-118.2437
Mercy General Hospital,555 Elm Street,75201,Dallas,32.7767,-96.7970
Northwest Regional Medical Center,888 Pine Avenue,77002,Houston,29.7604,-95.3698
Riverside Healthcare,444 Maple Lane,20001,Washington DC,38.9072,-77.0369
Bayside Medical Center,777 Coastal Highway,33139,Miami,25.7617,-80.1918
Mountain View Hospital,3322 Summit Road,80202,Denver,39.7392,-104.9903
Lakeside Medical Plaza,666 Shoreline Drive,48226,Detroit,42.3314,-83.0458
Valley Community Hospital,220 Desert Avenue,85003,Phoenix,33.4484,-112.0740
Sunrise Medical Center,1515 Palm Drive,89101,Las Vegas,36.1699,-115.1398
Westside Regional Hospital,2727 Ocean Drive,98101,Seattle,47.6062,-122.3321
Eastport Medical Facility,399 Harbor Road,21231,Baltimore,39.2904,-76.6122
Greenfield Memorial Hospital,5151 Forest Lane,19103,Philadelphia,39.9526,-75.1652
Bridgeview Medical Center,101 River Street,70112,New Orleans,29.9511,-90.0715
Metropolitan General Hospital,4242 Highland Avenue,37203,Nashville,36.1627,-86.7816
Oakwood Healthcare,838 Redwood Circle,40202,Louisville,38.2527,-85.7585
Lakeshore Medical Pavilion,650 Beachfront Road,60605,Chicago,41.8756,-87.6244
